Country,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03
Denmark,227337.59,440470.319,581031.217,598702.529,625089.2289999999,658526.139,730769.78,812752.9789999999,897475.945,978526.8269999999,1044678.982,1108818.778,1163019.67475,1212568.73025,1276715.777,1340473.73065,1414741.5717,1511614.6051,1667135.74095,1825646.0537999999,1984066.77015,2154611.9214,2309649.22975,2471849.92655,2617822.60275,2752046.86305,2913234.94915,3104725.5135,3306344.9905499998,3518168.6879,3736717.52955,3965500.3112999997,4179705.69815,4397692.3757,4570640.83215,4742071.37385,4911809.25765,5068588.54455,5257144.2771
Estonia,14654.966,28928.389000000003,39089.314,41077.403,43370.447,47264.527,54969.565,62134.382,68505.403,73507.32,79599.795,84706.77,88579.08840000001,92103.9151,97550.78275,103678.2765,112281.166,121959.0855,134067.2809,146434.3593,161817.74385,182418.1947,206867.3813,232066.16145,251310.90635,263435.8329,278075.84785,294153.0296,313259.05195,331207.08275,348104.59265,365055.3051,383214.93895,401907.5833,415857.86685,429206.2071,442364.5432,454633.2252,469946.622
Finland,229513.491,432535.54500000004,571449.532,597334.061,635269.394,672104.473,716327.872,771069.912,817331.586,866307.3049999999,919658.311,972781.255,1019036.3713,1063947.28855,1118719.991,1170571.1489,1219428.3235,1274646.9197,1341905.303,1419284.0111,1511470.5592,1620689.4544,1739753.02075,1896496.1137,2035844.2491,2160604.6067,2291554.8529,2427381.8476,2571546.2237,2715422.22695,2867060.6479,3015840.23125,3164803.9879,3321967.1792,3471852.59355,3658222.0174,3833938.27495,3994962.41365,4171329.4446
France,1671341.01,3199666.029,4273476.603,4510474.375,4856564.808,5300490.0600000005,6048396.272,6948090.733,7759471.187,8578456.158,9208270.261,9992359.47,10749793.78275,11375706.80205,12058608.444500001,12719253.73645,13445198.66825,14343858.34255,15650016.61065,16997170.61185,18167055.789300002,19387894.88195,20595090.54615,21901293.8602,23064215.93515,24152974.21145,25470704.0526,26910079.8148,28476355.2507,30087418.74805,31896833.5474,33701059.20255,35306788.9672,36935704.0723,38360889.59255,39909228.0578,41359409.5063,42714607.31965,44206008.0806
Georgia,30250.36,57446.748,74987.255,82721.775,95620.815,107560.732,120116.24,132232.47,146375.431,157894.232,175821.985,194808.639,206570.3606,218205.51245,237801.8532,261254.4789,290484.92595,325116.90155,368072.41585,414315.4661,452486.9649,493287.7648,529689.15535,569082.5006,605272.59095,633806.9829,672945.8337,709733.13075,751317.021,789773.89365,838211.68175,889960.496,935409.69455,978871.2305,1019407.22505,1060357.6791,1095511.57515,1125550.31605,1162203.4644
Germany,2304072.733,4428570.961999999,6031835.456,6703681.801,7457564.938999999,8217054.624,9261961.144,10428199.904,11546839.588,12680319.261,13694623.273,14740160.881,15721615.93335,16590100.0321,17622731.5979,18722355.04675,19926038.77185,21234035.1928,22868156.6513,24604783.1595,26330582.4254,28165607.5378,29863385.61705,31616328.4278,33188977.09365,34620171.1316,36398525.3087,38409128.07655,40582943.9553,42814898.9476,45132320.7686,47487787.40125,49743636.08895,52049930.64875,53988057.83415,55904930.0208,57764914.3963,59477733.10555,61478963.1682
Greece,140902.495,268129.905,361062.194,381875.122,407400.259,449907.737,672271.612,1015909.425,1280107.92,1472802.629,1528060.226,1577287.878,1623455.7842,1660907.034,1708409.7797,1765371.21445,1871862.3863000001,2156002.6898,2683530.8058,3304543.2744,3816295.91355,4226856.8491,4367298.12715,4493430.01165,4594695.04835,4685885.52345,4809415.4575000005,5056653.61815,5497421.261,6091842.18075,6811873.019950001,7531318.10835,8132714.70825,8570604.77535,8710989.08845,8841514.66645,8962390.0152,9070572.11875,9210527.671600001
Hungary,85346.075,160674.61,211823.83299999998,224965.72,240904.714,260489.962,294349.439,333110.89,357009.767,377817.154,396114.063,414433.074,431866.4877,446747.6304,466536.8407,487260.11775,513921.83,552661.3976499999,602847.5873,659232.9633,713426.86005,770388.111,829319.6347,894308.34035,951924.2267,1004966.66265,1072828.028,1144904.4974,1223530.3761,1304579.242,1389289.20705,1476043.7782,1554843.0378999999,1632126.086,1703764.9177,1776212.4601,1843920.80755,1904723.33005,1977170.17785
Iceland,20962.894,44232.975,61448.721999999994,65104.645,71575.833,79533.682,88719.641,95185.293,101775.842,111761.43,120664.895,128665.12,136966.8577,144282.23695,153465.6742,162063.72175,176654.0024,201802.697,239903.7297,278769.64425,316317.0241,345664.1985,368846.8263,391927.95675,407491.2352,424868.76785,445400.58795,469170.21045,508252.70815,556808.3207,611646.6505,666057.08945,710849.31865,751489.79305,782061.99325,810431.67625,832561.35815,850454.68505,876813.6505
Ireland,207331.811,400834.89,568695.226,608727.471,668629.925,726886.316,819240.884,926987.302,1022621.712,1106307.986,1166055.886,1229806.993,1291668.2117,1340241.55195,1397828.2731,1456374.59905,1520085.2089,1601975.9091,1722316.26305,1874550.7315,2027276.2793,2185157.69855,2321737.37945,2483215.31555,2624170.84465,2760183.62905,2952821.77855,3185870.4517,3454425.91965,3725377.13825,4022627.2186000003,4314665.9854500005,4596115.45315,4864725.5363,5076697.06875,5289572.41585,5493991.30255,5674931.832,5908561.4747
